"m.z"	"variable"	"d0_value"	"d6_value"	"d12_value"	"ES"	"replication"	"d0_log10value"	"d6_log10value"	"d12_log10value"
135.08	"ES0_3"	10.074	7.266	6.911	"ES0"	"3"	1.04430451917591	0.917295400945689	0.898231384513097
135.117	"ES0_3"	9.978	7.233	6.814	"ES0"	"3"	1.0405232264456	0.91555811541152	0.892873406888766
137.047	"ES0_3"	17.305	25.279	112.508	"ES0"	"3"	1.26256973321755	1.4196088349081	2.05502647151519
137.06	"ES0_3"	17.305	25.311	112.508	"ES0"	"3"	1.26256973321755	1.42013735459383	2.05502647151519
137.06	"ES0_3"	17.305	25.311	112.508	"ES0"	"3"	1.26256973321755	1.42013735459383	2.05502647151519
137.071	"ES0_3"	17.305	25.343	112.508	"ES0"	"3"	1.26256973321755	1.42066523187312	2.05502647151519
137.132	"ES0_3"	17.305	25.343	112.282	"ES0"	"3"	1.26256973321755	1.42066523187312	2.05416090790657
139.148	"ES0_3"	10.784	5.521	10.331	"ES0"	"3"	1.07129273383457	0.81431420020746	1.05426823954719
144.175	"ES0_3"	2.228	1.84	0.968	"ES0"	"3"	0.508933526050033	0.453318340047038	0.294025094095323
145.076	"ES0_3"	23.47	21.144	11.492	"ES0"	"3"	1.38863396935179	1.34525607277666	1.09663197555816
145.122	"ES0_3"	23.437	21.144	11.428	"ES0"	"3"	1.38804788882844	1.34525607277666	1.09440124458294
145.962	"ES0_3"	3.067	3.229	1.905	"ES0"	"3"	0.609274172404588	0.6262376851469	0.46314613672635
145.968	"ES0_3"	3.067	3.229	1.905	"ES0"	"3"	0.609274172404588	0.6262376851469	0.46314613672635
146.97	"ES0_3"	2.777	3.358	2.163	"ES0"	"3"	0.577146984827525	0.639287225910237	0.500099191915723
146.976	"ES0_3"	2.777	3.358	2.163	"ES0"	"3"	0.577146984827525	0.639287225910237	0.500099191915723
148.088	"ES0_3"	1.13	0.742	0.839	"ES0"	"3"	0.328379603438738	0.241048150671644	0.264581729238077
148.125	"ES0_3"	1.065	0.742	0.775	"ES0"	"3"	0.31492005599242	0.241048150671644	0.249198357391113
